20.04.2015 11:10:12 | MAX-FITO | Стартовал
20.04.2015 11:10:14 | MAX-FITO | Закрыт
20.04.2015 16:54:07 | MAX-FITO | Стартовал
20.04.2015 16:54:17 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:54:27 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:54:37 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:54:47 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:54:52 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:54:57 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:55:07 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:55:18 | Климат-контроль 502-0 | Нет датчиков
20.04.2015 16:55:28 | MAX-FITO | Закрыт
20.04.2015 16:55:33 | MAX-FITO | Стартовал
20.04.2015 16:55:42 | MAX-FITO | Закрыт
